NAME,WEEKS
Daniel Jones,"[(2, 'WAS', 0.0), (3, 'CLE', 0.0), (5, 'SEA', 0.0), (6, 'CIN', 0.0), (9, 'WAS', 0.0), (10, 'CAR', 0.0)]"
Daniel Carlson,"[(2, 'BAL', 0.0), (7, 'LAR', 0.0), (12, 'DEN', 0.0)]"
Darnell Mooney,"[(2, 'PHI', 0.0), (3, 'KC', 0.0), (5, 'TB', 0.0), (8, 'TB', 0.0), (9, 'DAL', 0.0), (10, 'NO', 0.0)]"
Kirk Cousins,"[(2, 'PHI', 0.0), (3, 'KC', 0.0), (5, 'TB', 0.0), (6, 'CAR', 0.0), (8, 'TB', 0.0), (9, 'DAL', 0.0), (10, 'NO', 0.0)]"
Drake London,"[(2, 'PHI', 0.0), (3, 'KC', 0.0), (4, 'NO', 0.0), (5, 'TB', 0.0), (6, 'CAR', 0.0), (7, 'SEA', 0.0), (10, 'NO', 0.0), (13, 'LAC', 0.0)]"
Joe Burrow,"[(2, 'KC', 0.0), (3, 'WAS', 0.0), (4, 'CAR', 0.0), (5, 'BAL', 0.0), (6, 'NYG', 0.0), (7, 'CLE', 0.0), (9, 'LV', 0.0), (10, 'BAL', 0.0), (11, 'LAC', 0.0), (13, 'PIT', 0.0)]"
Derrick Henry,"[(2, 'LV', 0.0), (3, 'DAL', 0.0), (4, 'BUF', 0.0), (5, 'CIN', 0.0), (6, 'WAS', 0.0), (7, 'TB', 0.0), (8, 'CLE', 0.0), (9, 'DEN', 0.0), (10, 'CIN', 0.0), (12, 'LAC', 0.0), (13, 'PHI', 0.0)]"
Mike Gesicki,"[(2, 'KC', 0.0), (9, 'LV', 0.0)]"
Deshaun Watson,"[(2, 'JAX', 0.0), (3, 'NYG', 0.0), (4, 'LV', 0.0)]"
Aaron Rodgers,"[(2, 'TEN', 0.0), (3, 'NE', 0.0), (4, 'DEN', 0.0), (6, 'BUF', 0.0), (7, 'PIT', 0.0), (8, 'NE', 0.0), (9, 'HOU', 0.0), (11, 'IND', 0.0), (13, 'SEA', 0.0)]"
Evan McPherson,"[(2, 'KC', 0.0), (4, 'CAR', 0.0)]"
Andrei Iosivas,"[(2, 'KC', 0.0), (3, 'WAS', 0.0), (13, 'PIT', 0.0)]"
Devin Singletary,"[(2, 'WAS', 0.0), (3, 'CLE', 0.0)]"
Jalen Nailor,"[(2, 'SF', 0.0), (3, 'HOU', 0.0), (7, 'DET', 0.0)]"
Jalen Tolbert,"[(2, 'NO', 0.0), (3, 'BAL', 0.0), (5, 'PIT', 0.0)]"
Brock Purdy,"[(2, 'MIN', 0.0), (3, 'LAR', 0.0), (4, 'NE', 0.0), (5, 'ARI', 0.0), (6, 'SEA', 0.0), (7, 'KC', 0.0), (8, 'DAL', 0.0), (10, 'TB', 0.0), (11, 'SEA', 0.0)]"
Josh Reynolds,"[(2, 'PIT', 0.0)]"
Matt Prater,"[(2, 'LAR', 0.0)]"
Malik Willis,"[(2, 'IND', 0.0), (3, 'TEN', 0.0)]"
Gardner Minshew II,"[(2, 'BAL', 0.0), (3, 'CAR', 0.0), (8, 'KC', 0.0), (11, 'MIA', 0.0), (12, 'DEN', 0.0)]"
Chris Olave,"[(2, 'DAL', 0.0), (3, 'PHI', 0.0), (4, 'ATL', 0.0), (8, 'LAC', 0.0)]"
Dustin Hopkins,"[(2, 'JAX', 0.0)]"
Dontayvion Wicks,"[(2, 'IND', 0.0), (4, 'MIN', 0.0), (7, 'HOU', 0.0)]"
Chuba Hubbard,"[(2, 'LAC', 0.0), (3, 'LV', 0.0), (4, 'CIN', 0.0), (5, 'CHI', 0.0), (6, 'ATL', 0.0), (7, 'WAS', 0.0), (9, 'NO', 0.0), (10, 'NYG', 0.0), (12, 'KC', 0.0)]"
Javonte Williams,"[(2, 'PIT', 0.0), (5, 'LV', 0.0), (7, 'NO', 0.0), (11, 'ATL', 0.0)]"
Austin Ekeler,"[(2, 'NYG', 0.0), (3, 'CIN', 0.0), (9, 'NYG', 0.0), (10, 'PIT', 0.0), (11, 'PHI', 0.0)]"
Will Levis,"[(2, 'NYJ', 0.0), (3, 'GB', 0.0), (10, 'LAC', 0.0), (11, 'MIN', 0.0), (12, 'HOU', 0.0), (13, 'WAS', 0.0)]"
DJ Moore,"[(2, 'HOU', 0.0), (3, 'IND', 0.0), (5, 'CAR', 0.0), (11, 'GB', 0.0), (12, 'MIN', 0.0), (13, 'DET', 0.0)]"
Jonnu Smith,"[(2, 'BUF', 0.0), (7, 'IND', 0.0), (11, 'LV', 0.0), (12, 'NE', 0.0), (13, 'GB', 0.0)]"
Antonio Gibson,"[(2, 'SEA', 0.0)]"
Justin Tucker,"[(2, 'LV', 0.0), (5, 'CIN', 0.0), (6, 'WAS', 0.0), (7, 'TB', 0.0)]"
Jason Myers,"[(2, 'NE', 0.0), (7, 'ATL', 0.0), (11, 'SF', 0.0)]"
Justin Herbert,"[(2, 'CAR', 0.0), (6, 'DEN', 0.0), (7, 'ARI', 0.0), (8, 'NO', 0.0), (9, 'CLE', 0.0), (10, 'TEN', 0.0), (11, 'CIN', 0.0), (12, 'BAL', 0.0)]"
Will Reichard,"[(2, 'SF', 0.0), (3, 'HOU', 0.0), (5, 'NYJ', 0.0), (7, 'DET', 0.0)]"
Jacoby Brissett,"[(2, 'SEA', 0.0)]"
Elijah Moore,"[(2, 'JAX', 0.0), (7, 'CIN', 0.0), (8, 'BAL', 0.0), (11, 'NO', 0.0), (13, 'DEN', 0.0)]"
Amari Cooper,"[(3, 'NYG', 0.0), (7, 'TEN', 0.0)]"
Dallas Goedert,"[(3, 'NO', 0.0), (4, 'TB', 0.0), (10, 'DAL', 0.0), (11, 'WAS', 0.0), (13, 'BAL', 0.0)]"
Diontae Johnson,"[(3, 'LV', 0.0), (4, 'CIN', 0.0), (6, 'ATL', 0.0)]"
Cole Kmet,"[(3, 'IND', 0.0), (6, 'JAX', 0.0), (12, 'MIN', 0.0)]"
Andy Dalton,"[(3, 'LV', 0.0), (4, 'CIN', 0.0), (6, 'ATL', 0.0)]"
Rome Odunze,"[(3, 'IND', 0.0), (9, 'ARI', 0.0), (11, 'GB', 0.0)]"
Tre Tucker,"[(3, 'CAR', 0.0), (4, 'CLE', 0.0), (12, 'DEN', 0.0), (13, 'KC', 0.0)]"
Jakobi Meyers,"[(3, 'CAR', 0.0), (5, 'DEN', 0.0), (8, 'KC', 0.0), (9, 'CIN', 0.0), (12, 'DEN', 0.0), (13, 'KC', 0.0)]"
Terry McLaurin,"[(3, 'CIN', 0.0), (4, 'ARI', 0.0), (5, 'CLE', 0.0), (6, 'BAL', 0.0), (7, 'CAR', 0.0), (8, 'CHI', 0.0), (9, 'NYG', 0.0), (10, 'PIT', 0.0), (12, 'DAL', 0.0), (13, 'TEN', 0.0)]"
Calvin Austin III,"[(3, 'LAC', 0.0), (8, 'NYG', 0.0), (12, 'CLE', 0.0)]"
DeAndre Hopkins,"[(3, 'GB', 0.0), (9, 'TB', 0.0), (10, 'DEN', 0.0), (12, 'CAR', 0.0), (13, 'LV', 0.0)]"
Caleb Williams,"[(3, 'IND', 0.0), (4, 'LAR', 0.0), (5, 'CAR', 0.0), (6, 'JAX', 0.0), (11, 'GB', 0.0), (12, 'MIN', 0.0), (13, 'DET', 0.0)]"
Emanuel Wilson,"[(3, 'TEN', 0.0)]"
Christian Kirk,"[(3, 'BUF', 0.0), (4, 'HOU', 0.0), (5, 'IND', 0.0)]"
Jake Ferguson,"[(3, 'BAL', 0.0), (4, 'NYG', 0.0), (5, 'PIT', 0.0), (9, 'ATL', 0.0)]"
DeMario Douglas,"[(3, 'NYJ', 0.0), (5, 'MIA', 0.0), (6, 'HOU', 0.0), (12, 'MIA', 0.0)]"
Michael Wilson,"[(3, 'DET', 0.0), (5, 'SF', 0.0), (8, 'MIA', 0.0)]"
Tyler Conklin,"[(3, 'NE', 0.0), (7, 'PIT', 0.0), (8, 'NE', 0.0)]"
KaVontae Turpin,"[(3, 'BAL', 0.0), (11, 'HOU', 0.0)]"
Wil Lutz,"[(3, 'TB', 0.0), (5, 'LV', 0.0), (7, 'NO', 0.0), (12, 'LV', 0.0)]"
Courtland Sutton,"[(3, 'TB', 0.0), (4, 'NYJ', 0.0), (6, 'LAC', 0.0), (8, 'CAR', 0.0), (9, 'BAL', 0.0), (10, 'KC', 0.0), (11, 'ATL', 0.0), (12, 'LV', 0.0), (13, 'CLE', 0.0)]"
Najee Harris,"[(3, 'LAC', 0.0), (6, 'LV', 0.0), (7, 'NYJ', 0.0), (8, 'NYG', 0.0), (10, 'WAS', 0.0), (11, 'BAL', 0.0), (13, 'CIN', 0.0)]"
Ty Johnson,"[(3, 'JAX', 0.0)]"
Tutu Atwell,"[(3, 'SF', 0.0), (4, 'CHI', 0.0), (5, 'GB', 0.0), (7, 'LV', 0.0)]"
Dalton Kincaid,"[(3, 'JAX', 0.0), (6, 'NYJ', 0.0), (8, 'SEA', 0.0)]"
Adam Thielen,"[(3, 'LV', 0.0), (13, 'TB', 0.0)]"
Noah Fant,"[(3, 'MIA', 0.0), (6, 'SF', 0.0), (7, 'ATL', 0.0)]"
Harrison Butker,"[(3, 'ATL', 0.0), (5, 'NO', 0.0), (10, 'DEN', 0.0)]"
Eddy Piñeiro,"[(3, 'LV', 0.0), (10, 'NYG', 0.0), (12, 'KC', 0.0)]"
Rashod Bateman,"[(3, 'DAL', 0.0), (5, 'CIN', 0.0), (6, 'WAS', 0.0), (7, 'TB', 0.0), (10, 'CIN', 0.0), (12, 'LAC', 0.0)]"
Bucky Irving,"[(3, 'DEN', 0.0), (4, 'PHI', 0.0), (6, 'NO', 0.0), (7, 'BAL', 0.0), (8, 'ATL', 0.0), (10, 'SF', 0.0), (12, 'NYG', 1.0), (13, 'CAR', 0.0)]"
Tank Dell,"[(3, 'MIN', 0.0), (6, 'NE', 0.0), (8, 'IND', 0.0), (9, 'NYJ', 0.0)]"
Tyler Bass,"[(3, 'JAX', 0.0), (9, 'MIA', 0.0), (10, 'IND', 0.0)]"
Miles Sanders,"[(3, 'LV', 0.0)]"
D'Andre Swift,"[(4, 'LAR', 0.0), (5, 'CAR', 0.0), (6, 'JAX', 0.0), (8, 'WAS', 0.0), (9, 'ARI', 0.0), (11, 'GB', 0.0)]"
Chase Brown,"[(4, 'CAR', 0.0), (5, 'BAL', 0.0), (6, 'NYG', 0.0), (9, 'LV', 0.0), (10, 'BAL', 0.0), (11, 'LAC', 0.0), (13, 'PIT', 0.0)]"
Nick Folk,"[(4, 'MIA', 0.0), (12, 'HOU', 0.0)]"
Jordan Addison,"[(4, 'GB', 0.0), (9, 'IND', 0.0), (11, 'TEN', 0.0), (12, 'CHI', 0.0)]"
Josh Downs,"[(4, 'PIT', 0.0), (5, 'JAX', 0.0), (6, 'TEN', 0.0), (8, 'HOU', 0.0), (9, 'MIN', 0.0), (10, 'BUF', 0.0), (11, 'NYJ', 0.0)]"
Jeremy McNichols,"[(4, 'ARI', 0.0)]"
Xavier Legette,"[(4, 'CIN', 0.0), (6, 'ATL', 0.0), (8, 'DEN', 0.0), (9, 'NO', 0.0)]"
Younghoe Koo,"[(4, 'NO', 0.0), (5, 'TB', 0.0), (6, 'CAR', 0.0)]"
Michael Pittman Jr.,"[(4, 'PIT', 0.0), (5, 'JAX', 0.0), (6, 'TEN', 0.0), (12, 'DET', 0.0)]"
Tucker Kraft,"[(4, 'MIN', 0.0), (5, 'LAR', 0.0), (7, 'HOU', 0.0), (8, 'JAX', 0.0), (12, 'SF', 0.0), (13, 'MIA', 0.0)]"
Greg Joseph,"[(4, 'DAL', 0.0)]"
Pat Freiermuth,"[(4, 'IND', 0.0), (10, 'WAS', 0.0), (13, 'CIN', 0.0)]"
Travis Kelce,"[(4, 'LAC', 0.0), (5, 'NO', 0.0), (8, 'LV', 0.0), (9, 'TB', 0.0), (10, 'DEN', 0.0), (12, 'CAR', 0.0), (13, 'LV', 0.0)]"
Dare Ogunbowale,"[(4, 'JAX', 0.0), (5, 'BUF', 0.0)]"
Joe Flacco,"[(4, 'PIT', 0.0), (5, 'JAX', 0.0), (6, 'TEN', 0.0), (10, 'BUF', 0.0)]"
Olamide Zaccheaus,"[(4, 'ARI', 0.0)]"
Taysom Hill,"[(4, 'ATL', 0.0), (9, 'CAR', 0.0), (11, 'CLE', 0.0)]"
Joshua Karty,"[(4, 'CHI', 0.0), (10, 'MIA', 0.0)]"
Rico Dowdle,"[(4, 'NYG', 0.0), (5, 'PIT', 0.0), (9, 'ATL', 0.0), (12, 'WAS', 0.0), (13, 'NYG', 0.0)]"
Jordan Whittington,"[(4, 'CHI', 0.0), (5, 'GB', 0.0)]"
Tee Higgins,"[(4, 'CAR', 0.0), (5, 'BAL', 0.0), (6, 'NYG', 0.0), (7, 'CLE', 0.0), (11, 'LAC', 0.0), (13, 'PIT', 0.0)]"
Tyjae Spears,"[(4, 'MIA', 0.0)]"
Tyler Huntley,"[(4, 'TEN', 0.0)]"
Parris Campbell,"[(4, 'TB', 0.0)]"
Trey Palmer,"[(4, 'PHI', 0.0)]"
Darius Slayton,"[(5, 'SEA', 0.0), (6, 'CIN', 0.0), (8, 'PIT', 0.0)]"
Tank Bigsby,"[(5, 'IND', 0.0), (7, 'NE', 0.0)]"
Brandon Aiyuk,"[(5, 'ARI', 0.0)]"
JuJu Smith-Schuster,"[(5, 'NO', 0.0)]"
Kareem Hunt,"[(5, 'NO', 0.0), (7, 'SF', 0.0), (8, 'LV', 0.0), (9, 'TB', 0.0), (10, 'DEN', 0.0), (12, 'CAR', 0.0)]"
Trey Sermon,"[(5, 'JAX', 0.0)]"
Charlie Kolar,"[(5, 'CIN', 0.0)]"
KhaDarel Hodge,"[(5, 'TB', 0.0)]"
Roschon Johnson,"[(5, 'CAR', 0.0), (11, 'GB', 0.0)]"
Ameer Abdullah,"[(5, 'DEN', 0.0), (12, 'DEN', 0.0)]"
Tyrone Tracy Jr.,"[(5, 'SEA', 0.0), (6, 'CIN', 0.0), (8, 'PIT', 0.0), (10, 'CAR', 0.0), (13, 'DAL', 0.0)]"
Dyami Brown,"[(5, 'CLE', 0.0)]"
Cam Little,"[(5, 'IND', 0.0)]"
Cam Akers,"[(5, 'BUF', 0.0), (11, 'TEN', 0.0)]"
Ray-Ray McCloud III,"[(5, 'TB', 0.0), (9, 'DAL', 0.0), (13, 'LAC', 0.0)]"
Brenton Strange,"[(5, 'IND', 0.0)]"
Colby Parkinson,"[(5, 'GB', 0.0)]"
Keon Coleman,"[(5, 'HOU', 0.0), (7, 'TEN', 0.0), (8, 'SEA', 0.0)]"
Demarcus Robinson,"[(5, 'GB', 0.0), (8, 'MIN', 0.0), (9, 'SEA', 0.0), (13, 'NO', 0.0)]"
Sean Tucker,"[(6, 'NO', 0.0)]"
Gabe Davis,"[(6, 'CHI', 0.0)]"
Keenan Allen,"[(6, 'JAX', 0.0), (12, 'MIN', 0.0), (13, 'DET', 0.0)]"
Romeo Doubs,"[(6, 'ARI', 0.0), (7, 'HOU', 0.0)]"
Tyler Allgeier,"[(6, 'CAR', 0.0)]"
Drake Maye,"[(6, 'HOU', 0.0), (7, 'JAX', 0.0), (9, 'TEN', 0.0), (10, 'CHI', 0.0), (11, 'LAR', 0.0), (12, 'MIA', 0.0), (13, 'IND', 0.0)]"
Ray Davis,"[(6, 'NYJ', 0.0), (7, 'TEN', 0.0), (9, 'MIA', 0.0), (13, 'SF', 0.0)]"
Evan Engram,"[(6, 'CHI', 0.0), (8, 'GB', 0.0), (9, 'PHI', 0.0), (10, 'MIN', 0.0)]"
Jake Bates,"[(6, 'DAL', 0.0), (10, 'HOU', 0.0), (11, 'JAX', 0.0)]"
Christian Watson,"[(6, 'ARI', 0.0), (11, 'CHI', 0.0)]"
Mark Andrews,"[(6, 'WAS', 0.0), (7, 'TB', 0.0), (8, 'CLE', 0.0), (10, 'CIN', 0.0), (12, 'LAC', 0.0), (13, 'PHI', 0.0)]"
Bub Means,"[(6, 'TB', 0.0)]"
Kayshon Boutte,"[(6, 'HOU', 0.0)]"
Dameon Pierce,"[(6, 'NE', 0.0)]"
Kimani Vidal,"[(6, 'DEN', 0.0)]"
Spencer Rattler,"[(6, 'TB', 0.0)]"
Sam LaPorta,"[(6, 'DAL', 0.0), (8, 'TEN', 0.0), (10, 'HOU', 0.0), (13, 'CHI', 0.0)]"
Matthew Wright,"[(6, 'SEA', 0.0), (13, 'LV', 0.0)]"
Troy Franklin,"[(6, 'LAC', 0.0)]"
Emari Demercado,"[(6, 'GB', 0.0), (9, 'CHI', 0.0)]"
Kalif Raymond,"[(6, 'DAL', 0.0), (7, 'MIN', 0.0)]"
Aidan O'Connell,"[(6, 'PIT', 0.0), (13, 'KC', 0.0)]"
Russell Wilson,"[(7, 'NYJ', 0.0), (8, 'NYG', 0.0), (10, 'WAS', 0.0), (12, 'CLE', 0.0), (13, 'CIN', 0.0)]"
David Njoku,"[(7, 'CIN', 0.0), (8, 'BAL', 0.0), (11, 'NO', 0.0), (13, 'DEN', 0.0)]"
Marcus Mariota,"[(7, 'CAR', 0.0)]"
Cedric Tillman,"[(7, 'CIN', 0.0), (8, 'BAL', 0.0), (9, 'LAC', 0.0)]"
Cade Otton,"[(7, 'BAL', 0.0), (8, 'ATL', 0.0), (9, 'KC', 0.0)]"
Cedrick Wilson Jr.,"[(7, 'DEN', 0.0)]"
Will Dissly,"[(7, 'ARI', 0.0), (11, 'CIN', 0.0)]"
JaMycal Hasty,"[(7, 'JAX', 0.0)]"
Zach Ertz,"[(7, 'CAR', 0.0), (8, 'CHI', 0.0), (11, 'PHI', 0.0), (12, 'DAL', 0.0), (13, 'TEN', 0.0)]"
Mecole Hardman,"[(7, 'SF', 0.0)]"
Ja'Tavion Sanders,"[(7, 'WAS', 0.0), (9, 'NO', 0.0)]"
Matt Gay,"[(7, 'MIA', 0.0), (11, 'NYJ', 0.0)]"
Tyler Goodson,"[(7, 'MIA', 0.0)]"
Noah Gray,"[(7, 'SF', 0.0), (11, 'BUF', 0.0), (12, 'CAR', 0.0)]"
K.J. Osborn,"[(7, 'JAX', 0.0)]"
Mason Tipton,"[(7, 'DEN', 0.0)]"
Joshua Palmer,"[(7, 'ARI', 0.0), (9, 'CLE', 0.0)]"
Nick Chubb,"[(7, 'CIN', 0.0), (12, 'PIT', 0.0), (13, 'DEN', 0.0)]"
D'Ernest Johnson,"[(7, 'NE', 0.0)]"
Jameis Winston,"[(8, 'BAL', 0.0), (11, 'NO', 0.0), (12, 'PIT', 0.0), (13, 'DEN', 0.0)]"
Mason Rudolph,"[(8, 'DET', 0.0), (9, 'NE', 0.0)]"
Isaac Guerendo,"[(8, 'DAL', 0.0)]"
Adam Trautman,"[(8, 'CAR', 0.0)]"
Puka Nacua,"[(8, 'MIN', 0.0), (10, 'MIA', 0.0), (11, 'NE', 0.0), (12, 'PHI', 0.0), (13, 'NO', 0.0)]"
Jalen Coker,"[(8, 'DEN', 0.0)]"
Noah Brown,"[(8, 'CHI', 0.0), (12, 'DAL', 0.0)]"
Raheem Mostert,"[(8, 'ARI', 0.0)]"
Anders Carlson,"[(8, 'DAL', 0.0), (11, 'IND', 0.0)]"
Bryce Young,"[(8, 'DEN', 0.0), (10, 'NYG', 0.0), (12, 'KC', 0.0), (13, 'TB', 0.0)]"
DJ Turner,"[(8, 'KC', 0.0)]"
Jake Elliott,"[(8, 'CIN', 0.0), (10, 'DAL', 0.0), (12, 'LAR', 0.0)]"
Josh Oliver,"[(9, 'IND', 0.0)]"
Nick Westbrook-Ikhine,"[(9, 'NE', 0.0), (11, 'MIN', 0.0), (12, 'HOU', 0.0), (13, 'WAS', 0.0)]"
Theo Johnson,"[(9, 'WAS', 0.0)]"
Mack Hollins,"[(9, 'MIA', 0.0), (10, 'IND', 0.0)]"
Samaje Perine,"[(9, 'TB', 0.0)]"
Trey Benson,"[(9, 'CHI', 0.0), (10, 'NYJ', 0.0)]"
Drew Sample,"[(9, 'LV', 0.0)]"
Nick Vannett,"[(9, 'NE', 0.0)]"
Marquez Valdes-Scantling,"[(10, 'ATL', 0.0), (11, 'CLE', 0.0)]"
Tylan Wallace,"[(10, 'CIN', 0.0)]"
John Metchie III,"[(10, 'DET', 0.0)]"
Ricky Pearsall,"[(10, 'TB', 0.0)]"
Christian McCaffrey,"[(10, 'TB', 0.0), (11, 'SEA', 0.0)]"
Tanner Hudson,"[(10, 'BAL', 0.0)]"
T.J. Hockenson,"[(10, 'JAX', 0.0), (12, 'CHI', 0.0)]"
Jason Sanders,"[(10, 'LAR', 0.0), (12, 'NE', 0.0)]"
Adonai Mitchell,"[(10, 'BUF', 0.0)]"
Joey Slye,"[(10, 'CHI', 0.0)]"
John Parker Romo,"[(10, 'JAX', 0.0), (12, 'CHI', 0.0), (13, 'ARI', 0.0)]"
Malik Washington,"[(10, 'LAR', 0.0)]"
Mike Williams,"[(10, 'WAS', 0.0)]"
Dalton Schultz,"[(10, 'DET', 0.0), (13, 'JAX', 0.0)]"
Jaylen Warren,"[(10, 'WAS', 0.0), (11, 'BAL', 0.0), (12, 'CLE', 0.0)]"
Kendrick Bourne,"[(11, 'LAR', 0.0)]"
Curtis Samuel,"[(11, 'KC', 0.0)]"
Cooper Rush,"[(11, 'HOU', 0.0), (12, 'WAS', 0.0)]"
Lil'Jordan Humphrey,"[(11, 'ATL', 0.0)]"
Marvin Mims Jr.,"[(11, 'ATL', 0.0), (13, 'CLE', 0.0)]"
Juwan Johnson,"[(11, 'CLE', 0.0)]"
Luke Schoonmaker,"[(11, 'HOU', 0.0), (12, 'WAS', 0.0)]"
David Moore,"[(12, 'KC', 0.0)]"
Austin Hooper,"[(12, 'MIA', 0.0), (13, 'IND', 0.0)]"
Chig Okonkwo,"[(12, 'HOU', 0.0)]"
Spencer Shrader,"[(12, 'CAR', 0.0)]"
Cade Stover,"[(12, 'TEN', 0.0)]"
Tyler Boyd,"[(12, 'HOU', 0.0)]"
Tommy DeVito,"[(12, 'TB', 0.0)]"
Parker Washington,"[(13, 'HOU', 0.0)]"
Mac Jones,"[(13, 'HOU', 0.0)]"
Chad Ryland,"[(13, 'MIN', 0.0)]"
Chris Rodriguez Jr.,"[(13, 'TEN', 0.0)]"
Drew Lock,"[(13, 'DAL', 0.0)]"
Tommy Tremble,"[(13, 'TB', 0.0)]"
